Timestamp_WIB,Flight_IATA,Flight_ICAO,Flight_Number,Airline_IATA,Airline_ICAO,Aircraft_Code,Registration_Number,Transponder_Hex,Airline_Country_Flag,Origin_IATA,Origin_ICAO,Origin_Terminal,Destination_IATA,Destination_ICAO,Destination_Terminal,Latitude,Longitude,Heading_Deg,Altitude_Meters,Altitude_Feet,Ground_Speed_KMH,Ground_Speed_Knots,Vertical_Speed_MS,Vertical_Speed_FPM,Flight_Phase,Is_Ground,Delayed_Minutes,ETA_Timestamp,Updated_Unix_Time,Status
2026-09-25 20:05:33,JT989,LNI989,989,JT,LNI,N/A,PK-LHQ,8A026A,ID,BTH,WIDD,N/A,KNO,WIMM,N/A,0.904047,101.825138,306.6,9141,29990.2,893,482.2,0,0,Cruising,0,0,N/A,1790341523,en-route
2026-09-25 20:05:33,JT276,LNI276,276,JT,LNI,N/A,PK-LSO,8A082D,ID,YIA,WAHI,N/A,PKU,WIBB,N/A,-0.097256,101.646889,321.0,2265,7431.1,513,277.0,0,0,Cruising,0,0,N/A,1790341474,en-route
2026-09-25 21:05:27,QG914,CTV914,914,QG,CTV,N/A,PK-GTI,8A074D,ID,CGK,WIII,N/A,KNO,WIMM,N/A,1.292727,101.056315,348.1,11754,38563.0,801,432.5,0,0,Cruising,0,0,N/A,1790345124,en-route
2026-09-25 21:05:27,JT383,LNI383,383,JT,LNI,N/A,PK-LRF,8A097B,ID,KNO,WIMM,N/A,CGK,WIII,N/A,1.429327,101.262656,138.8,10771,35337.9,854,461.1,0,0,Cruising,0,0,N/A,1790345124,en-route
2026-09-25 22:05:33,SQ468,SIA468,468,SQ,SIA,N/A,9V-SCM,76CC6D,SG,SIN,WSSS,N/A,CMB,VCBI,N/A,0.673645,100.915923,269.8,10474,34363.5,974,525.9,0,0,Cruising,0,0,N/A,1790348725,en-route
2026-09-25 23:05:29,QG915,CTV915,915,QG,CTV,N/A,PK-GTI,8A074D,ID,KNO,WIMM,N/A,CGK,WIII,N/A,1.404635,100.950402,138.3,12059,39563.6,832,449.2,0,0,Cruising,0,0,N/A,1790352321,en-route
2026-09-26 00:05:30,QG888,CTV888,888,QG,CTV,N/A,PK-GQN,8A05D5,ID,CGK,WIII,N/A,KNO,WIMM,N/A,0.295362,100.984454,317.3,10436,34238.8,840,453.6,0,0,Cruising,0,0,N/A,1790355920,en-route
2026-09-26 01:05:31,NONE,NONE,NONE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.4608,101.4447,0,0,0,0,0,0,0,No Flights,0,0,N/A,0,no_flights
2026-09-26 02:05:28,SV857,SVA857,857,SV,SVA,N/A,HZ-AR32,7105B1,SA,SIN,WSSS,N/A,JED,OEJN,N/A,1.133971,101.435567,287.1,9765,32037.4,940,507.6,6,1181.1,Climbing (Takeoff),0,0,N/A,1790363120,en-route
2026-09-26 03:05:35,NONE,NONE,NONE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.4608,101.4447,0,0,0,0,0,0,0,No Flights,0,0,N/A,0,no_flights
2026-09-26 04:05:31,NONE,NONE,NONE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.4608,101.4447,0,0,0,0,0,0,0,No Flights,0,0,N/A,0,no_flights
2026-09-26 05:05:29,SQ437,SIA437,437,SQ,SIA,N/A,9V-SHP,76CD10,SG,MLE,VRMM,N/A,SIN,WSSS,N/A,1.031407,100.743984,103.2,13255,43487.5,858,463.3,0,0,Cruising,0,0,N/A,1790373920,en-route
